ref,value,datasheet,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C1,0.1u,~,~,~,490-1524-1-ND,Digikey,http://www.digikey.com/product-detail/en/GRM188R71E104KA01D/490-1524-1-ND/587865,,,,,
C2,47u,~,~,~,PCE5005CT-ND,Digikey,http://www.digikey.com/product-detail/en/EEE-FT1E470AR/PCE5005CT-ND/2652060,,,,,
C3,47u,~,~,~,PCE5005CT-ND,Digikey,http://www.digikey.com/product-detail/en/EEE-FT1E470AR/PCE5005CT-ND/2652060,,,,,
C4,0.1u,~,~,~,490-1524-1-ND,Digikey,http://www.digikey.com/product-detail/en/GRM188R71E104KA01D/490-1524-1-ND/587865,,,,,
C5,0.1u,~,~,~,490-1524-1-ND,Digikey,http://www.digikey.com/product-detail/en/GRM188R71E104KA01D/490-1524-1-ND/587865,,,,,
C6,0.1u,~,~,~,490-1524-1-ND,Digikey,http://www.digikey.com/product-detail/en/GRM188R71E104KA01D/490-1524-1-ND/587865,,,,,
C7,10p,~,~,~,490-1403-1-ND,Digikey,http://www.digikey.com/product-detail/en/GRM1885C1H100JA01D/490-1403-1-ND/587642,,,,,
C8,10p,~,~,~,490-1403-1-ND,Digikey,http://www.digikey.com/product-detail/en/GRM1885C1H100JA01D/490-1403-1-ND/587642,,,,,
D1,PWR,~,~,~,732-4982-1-ND,Digikey,http://www.digikey.com/product-detail/en/150080BS75000/732-4982-1-ND/4489910,,,,,
D2,RX,~,~,~,732-4981-1-ND,Digikey,http://www.digikey.com/product-detail/en/150060YS75000/732-4981-1-ND/4489907,,,,,
D3,TX,~,~,~,732-4978-1-ND,Digikey,http://www.digikey.com/product-detail/en/150060RS75000/732-4978-1-ND/4489899,,,,,
D4,CANTX,~,~,~,732-4978-1-ND,Digikey,http://www.digikey.com/product-detail/en/150060RS75000/732-4978-1-ND/4489899,,,,,
D5,CANRX,~,~,~,732-4981-1-ND,Digikey,http://www.digikey.com/product-detail/en/150060YS75000/732-4981-1-ND/4489907,,,,,
D6,RELAY1,~,~,~,732-4971-1-ND,Digikey,http://www.digikey.com/product-detail/en/150060GS75000/732-4971-1-ND/4489896,,,,,
D7,RELAY2,~,~,~,732-4971-1-ND,Digikey,http://www.digikey.com/product-detail/en/150060GS75000/732-4971-1-ND/4489896,,,,,
D8,RELAY3,~,~,~,732-4971-1-ND,Digikey,http://www.digikey.com/product-detail/en/150060GS75000/732-4971-1-ND/4489896,,,,,
D9,DIODE,~,~,~,SK310A-LTPMSCT-ND,Digikey,http://www.digikey.com/product-detail/en/SK310A-LTP/SK310A-LTPMSCT-ND/2642066,,,,,
D10,DIODE,~,~,~,SK310A-LTPMSCT-ND,Digikey,http://www.digikey.com/product-detail/en/SK310A-LTP/SK310A-LTPMSCT-ND/2642066,,,,,
D11,DIODE,~,~,~,SK310A-LTPMSCT-ND,Digikey,http://www.digikey.com/product-detail/en/SK310A-LTP/SK310A-LTPMSCT-ND/2642066,,,,,
ISP1,ISP1,~,~,~,3M15451-ND,Digikey,http://www.digikey.com/product-detail/en/30306-6002HB/3M15451-ND/1237391,,,,,
J1,PWR,,,,ED2609-ND,Digikey,http://www.digikey.com/product-detail/en/OSTTC022162/ED2609-ND/614558,,,,,
J2,USB,,,,609-4613-1-ND,Digikey,http://www.digikey.com/product-detail/en/10118192-0001LF/609-4613-1-ND/2785378,,,,,
J3,RELAY,,,,ED2609-ND,Digikey,http://www.digikey.com/product-detail/en/OSTTC022162/ED2609-ND/614558,,,,,
J4,RELAY,,,,ED2609-ND,Digikey,http://www.digikey.com/product-detail/en/OSTTC022162/ED2609-ND/614558,,,,,
J5,RELAY,,,,ED2609-ND,Digikey,http://www.digikey.com/product-detail/en/OSTTC022162/ED2609-ND/614558,,,,,
J6,GPIO,,,,ED2615-ND,Digikey,http://www.digikey.com/product-detail/en/OSTTC082162/ED2615-ND/614564,,,,,
J7,AMP/D2A,,,,ED2615-ND,Digikey,http://www.digikey.com/product-detail/en/OSTTC082162/ED2615-ND/614564,,,,,
J8,ADC,,,,ED2615-ND,Digikey,http://www.digikey.com/product-detail/en/OSTTC082162/ED2615-ND/614564,,,,,
J9,CAN,,,,ED2609-ND,Digikey,http://www.digikey.com/product-detail/en/OSTTC022162/ED2609-ND/614558,,,,,
JP1,JUMPER3,~,~,~,952-2264-ND,Digikey,http://www.digikey.com/product-detail/en/M20-9990346/952-2264-ND/3728228,,,,,
R1,220,~,~,~,RHM220CGCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCR03ERTJ221/RHM220CGCT-ND/3992003,,,,,
R2,100,~,~,~,,,,,,,,
R3,100,~,~,~,,,,,,,,
R4,10k,~,~,~,RHM10KCGCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCR03ERTJ103/RHM10KCGCT-ND/2796496,,,,,
R5,1k,~,~,~,RHM1.0KCGCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCR03ERTJ102/RHM1.0KCGCT-ND/2796495,,,,,
R6,1k,~,~,~,RHM1.0KCGCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCR03ERTJ102/RHM1.0KCGCT-ND/2796495,,,,,
R7,1k,~,~,~,RHM1.0KCGCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCR03ERTJ102/RHM1.0KCGCT-ND/2796495,,,,,
R8,1k,~,~,~,RHM1.0KCGCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCR03ERTJ102/RHM1.0KCGCT-ND/2796495,,,,,
R9,220,~,~,~,RHM220CGCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCR03ERTJ221/RHM220CGCT-ND/3992003,,,,,
R10,220,~,~,~,RHM220CGCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCR03ERTJ221/RHM220CGCT-ND/3992003,,,,,
R11,220,~,~,~,RHM220CGCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCR03ERTJ221/RHM220CGCT-ND/3992003,,,,,
R12,10k,~,~,~,RHM10KCGCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCR03ERTJ103/RHM10KCGCT-ND/2796496,,,,,
R13,1k,~,~,~,RHM1.0KCGCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCR03ERTJ102/RHM1.0KCGCT-ND/2796495,,,,,
R14,1k,~,~,~,RHM1.0KCGCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCR03ERTJ102/RHM1.0KCGCT-ND/2796495,,,,,
R15,1k,~,~,~,RHM1.0KCGCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCR03ERTJ102/RHM1.0KCGCT-ND/2796495,,,,,
R16,120,~,~,~,,,,,,,,
SW1,RESET,~,~,~,401-1427-1-ND,Digikey,http://www.digikey.com/product-detail/en/KMR221GLFS/401-1427-1-ND/550466,,,,,
SW2,FTDI,,,,,,,,,,,
U1,NCP1117ST50T3G,~,~,~,NCP1117ST50T3GOSCT-ND,Digikey,http://www.digikey.com/product-detail/en/NCP1117ST50T3G/NCP1117ST50T3GOSCT-ND/1967217,,,,,
U2,FT232RL,~,~,~,768-1007-1-ND,Digikey,http://www.digikey.com/product-detail/en/FT232RL-REEL/768-1007-1-ND/1836402,,,,,
U3,ATMEGA16M1-A,,TQFP32,,ATMEGA16M1-15AZCT-ND,Digikey,http://www.digikey.com/product-detail/en/ATMEGA16M1-15AZ/ATMEGA16M1-15AZCT-ND/2477162,,,,,
U4,MCP2551-I/SN,,SO8,,MCP2551T-E/SNCT-ND,Digikey,http://www.digikey.com/product-detail/en/MCP2551T-E%2FSN/MCP2551T-E%2FSNCT-ND/4307904,,,,,
U5,RELAY_VO14642AT,~,~,~,VO14642AABCT-ND,Digkey,http://www.digikey.com/product-detail/en/VO14642AABTR/VO14642AABCT-ND/4743823,,,,,
U6,RELAY_VO14642AT,~,~,~,VO14642AABCT-ND,Digikey,http://www.digikey.com/product-detail/en/VO14642AABTR/VO14642AABCT-ND/4743823,,,,,
U7,RELAY_VO14642AT,~,~,~,VO14642AABCT-ND,Digikey,http://www.digikey.com/product-detail/en/VO14642AABTR/VO14642AABCT-ND/4743823,,,,,
X1,16MHz,~,~,~,644-1037-1-ND,Digikey,http://www.digikey.com/product-detail/en/NX5032GA-16.000000MHZ-LN-CD-1/644-1037-1-ND/1128909,,,,,
